2012;KIERROKSET;;;;;;;;;;;;;;;;;;;;;;PROJEKTI;;;;;TENTTI;UUSINTA;PORTFOLIO;KURSSI;;
 ;Java 1;myöhässä;Java 2;myöhässä;Java 3;myöhässä;Java 4;myöhässä;Java 5;myöhässä;Java 6;myöhässä;Teoria 1;myöhässä;Teoria 2;myöhässä;Teoria 3;myöhässä;Teoria 4;myöhässä;Teoria 5;myöhässä;Arkkitehtuuri;Koodi;Käyttökokemus;Raportti;Arvosana;Arvosana;;"Portfolio
(15-30 joinain vuosina %)";Painotettu keskiarvo;Arvosana;
159058;3;;4;;3;;1;;1;;;;2;;1;;2;1;2;;4;;1;1;2;2;1.6;3;;4.2;2.54;3;
220657;3;;4;;3;;5;;5;;;;4;;4;;3;;5;;5;;3;3;4.5;4.5;3.75;4;;3.8;3.95;4;“Myöhässä”-sarakkeessa on tällä hetkellä lukuna myöhästymispäivät ja teksti “muu” jos kyseessä ollut jokin muu sakko
220806;4;;4;;3;;4;;5;;;;3;;4;;3;;3;;3;;3;4;4;4;3.75;2;;4.6;3.72;4;
220848;4;;3;1;3;;3;;5;;;;2;;2;;3;;3;;4;;2;3;3;2;2.6;3;;3.6;3.22;3;
222079;3;;3;;4;;4;;5;;;;1;;5;;4;;3;;5;;3.5;4.5;5;3.5;4.13;2;4;4;3.99;4;
222477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290276;2;;5;;3;;3;;;;;;2;;1;;4;;3;;4;;5;3.5;3;5;4.23;;3;4.4;;4;
290315;4;;3;;4;;5;;5;;;;4;;3;;5;;4;;5;;2.5;3;2.5;4;3.1;3;;4.6;4.15;4;
290373;4;;3;muu;2;;4;;4;;;;3;;3;;3;;4;;3;;3.5;4;4.5;4.5;4.23;3;;3.4;3.27;3;
290386;3;;4;;5;;5;;5;;;;4;;3;;4;;5;;4;;5;5;5;5;5.1;5;;4.8;4.43;4;
290399;5;;5;;5;;4;;4;;;;2;;3;;5;;0;4;5;;;;;;;5;;4.6;4.5;5;
290441;5;;5;;6;;4;;6;;;;5;;3;;5;;2;;5;;5;5;4;3;4.25;5;;4.6;4.72;5;
290470;4;;3;muu;3;;4;;5;;;;4;;4;;3;;3;;0;2;2;3;3;3.5;2.88;5;;4.6;3.71;4;
290519;3;;4;;4;;4;;5;;;;1;;1;;1;;2;;2;;5;5;4;3;4.35;4;;3.4;3.59;4;
290577;3;;4;;3;;5;;5;;;;5;;5;;3;;5;;5;;3.5;4;3.5;4;3.85;5;;4.6;4.25;4;
290580;4;;3;;2;;3;;5;;;;2;;1;;2;;2;;1;;1;2.5;2.5;2;2;1;;4.2;2.73;3;
290674;3;;4;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
290742;5;;4;;5;;6;;6;;;;4;;5;;5;;5;;5;;5;5;5;5;5;4;;4;4.8;5;
290771;3;;4;;4;;5;;5;;;;2;;5;;4;;5;;5;;4;4.5;5;4;4.48;3;;4.8;4.23;4;
290784;4;;2;muu;2;;4;;5;;;;2;;3;;4;;3;;3;;1.5;1.5;2.5;2;1.88;2;;4.4;3.05;3;
